Group,Cohort,Cage,Mouse,Dilution,CFU,Total_CFU,NumbertoPlot,Condition
Abx,29,1,1,0,0,0,0,Pre-shave
Abx,29,1,1,1,0,0,NA,Pre-shave
Abx,29,1,1,2,0,0,NA,Pre-shave
Abx,29,1,2,0,0,0,0,Pre-shave
Abx,29,1,2,1,0,0,NA,Pre-shave
Abx,29,1,2,2,0,0,NA,Pre-shave
Abx,29,2,1,0,0,0,0,Pre-shave
Abx,29,2,1,1,0,0,NA,Pre-shave
Abx,29,2,1,2,0,0,NA,Pre-shave
Abx,29,2,2,0,6,120,120,Pre-shave
Abx,29,2,2,1,1,200,NA,Pre-shave
Abx,29,2,2,2,0,0,NA,Pre-shave
Ctrl,29,1,1,1,13,2600,2600,Pre-shave
Ctrl,29,1,1,2,1,2000,NA,Pre-shave
Ctrl,29,1,1,3,0,0,NA,Pre-shave
Ctrl,29,1,2,1,6,1200,1200,Pre-shave
Ctrl,29,1,2,2,0,0,NA,Pre-shave
Ctrl,29,1,2,3,0,0,NA,Pre-shave
Ctrl,29,2,1,1,TNC,NA,NA,Pre-shave
Ctrl,29,2,1,2,TNC,NA,NA,Pre-shave
Ctrl,29,2,1,3,150,3000000,3000000,Pre-shave
Ctrl,29,2,2,1,TNC,NA,,Pre-shave
Ctrl,29,2,2,2,TNC,NA,,Pre-shave
Ctrl,29,2,2,3,200,4000000,4000000,Pre-shave
Abx,34,1,1,1,NA,NA,60,Pre-shave
Abx,34,1,2,1,NA,NA,120,Pre-shave
Abx,34,2,1,1,NA,NA,2140,Pre-shave
Ctrl,34,1,1,2,NA,NA,1752000,Pre-shave
Ctrl,34,1,2,2,NA,NA,1144000,Pre-shave
Ctrl,34,2,1,2,NA,NA,1688000,Pre-shave
Abx,34,1,1,NA,NA,NA,840,Endpoint
Abx,34,1,2,NA,NA,NA,3000,Endpoint
Abx,34,1,3,NA,NA,NA,440,Endpoint
Abx,34,2,1,NA,NA,NA,320,Endpoint
Abx,34,2,2,NA,NA,NA,720,Endpoint
Abx,34,2,3,NA,NA,NA,1320,Endpoint
Ctrl,34,1,1,NA,NA,NA,114000,Endpoint
Ctrl,34,1,2,NA,NA,NA,560000,Endpoint
Ctrl,34,1,3,NA,NA,NA,98000,Endpoint
Ctrl,34,2,1,NA,NA,NA,840000,Endpoint
Ctrl,34,2,2,NA,NA,NA,194000,Endpoint
Abx,29,1,1,NA,NA,NA,166.1129568,Endpoint
Abx,29,1,2,NA,NA,NA,778.2101167,Endpoint
Abx,29,1,3,NA,NA,NA,1016.949153,Endpoint
Abx,29,2,1,NA,NA,NA,233.9181287,Endpoint
Abx,29,2,2,NA,NA,NA,0,Endpoint
Ctrl,29,1,1,NA,NA,NA,2744014.733,Endpoint
Ctrl,29,1,2,NA,NA,NA,1089385.475,Endpoint
Ctrl,29,2,1,NA,NA,NA,2099827.883,Endpoint
Ctrl,29,2,2,NA,NA,NA,1642189.586,Endpoint
