"","Mouse","Age","Group","Sex","Day","TEWL","Condition","Redness","Thickness","Scabbiness","Cohort","Organism","Dose","complete_score"
"1",1,"9","control0","M",0,14.8,"Baseline",NA,NA,NA,1,"PBS",0,NA
"2",2,"8","control0","M",0,4.9,"Baseline",NA,NA,NA,1,"PBS",0,NA
"3",3,"8","control0","M",0,12.9,"Baseline",NA,NA,NA,1,"PBS",0,NA
"4",1,"8","control1","M",0,7.7,"Baseline",NA,NA,NA,1,"PBS",0,NA
"5",2,"9","control1","M",0,NA,"Baseline",NA,NA,NA,1,"PBS",0,NA
"6",3,"9","control1","M",0,7.1,"Baseline",NA,NA,NA,1,"PBS",0,NA
"7",4,"9","control1","M",0,8.7,"Baseline",NA,NA,NA,1,"PBS",0,NA
"8",5,"9","control1","M",0,6.1,"Baseline",NA,NA,NA,1,"PBS",0,NA
"9",1,"8","group0","M",0,6.6,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"10",2,"9","group0","M",0,6.4,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"11",3,"9","group0","M",0,5.9,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"12",1,"9","group1","M",0,6.8,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"13",2,"9","group1","M",0,9.5,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"14",3,"9","group1","M",0,7.8,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"15",4,"9","group1","M",0,7,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"16",5,"9","group1","M",0,5.4,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"17",6,"9","group1","M",0,5.5,"Baseline",NA,NA,NA,1,"Sepi44",1000000000,NA
"18",1,"9","control0","M",0,NA,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"19",2,"8","control0","M",0,NA,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"20",3,"8","control0","M",0,NA,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"21",1,"8","control1","M",0,71.3,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"22",2,"9","control1","M",0,77.1,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
"23",3,"9","control1","M",0,34.2,"Tapestrip",NA,NA,NA,1,"PBS",0,NA
