Sample,Live_CD45_of_Total,DC,Macrophages,Monocytes,Neutrophils,Group,Mouse,Day,Sac_TEWL,Sac_Score
Specimen_001_Mouse_001.fcs,19.1,16.7,11.7,11.7,43.6,PBS,1,1,65.1,NA
Specimen_001_Mouse_002.fcs,16.4,14.2,10,11.9,33,PBS,2,1,65.5,NA
Specimen_001_Mouse_003.fcs,18.4,22.4,13,11.4,35.5,PBS,3,1,74.2,NA
Specimen_001_Mouse_004.fcs,9.08,8.27,6.15,4.88,40.6,PBS,4,1,61,NA
Specimen_001_Mouse_005.fcs,9.25,11.9,4.44,8.26,48.4,PBS,5,1,65,NA
Specimen_001_Mouse_006.fcs,6.7,20.8,10.2,13,20.7,Sepi44,1,1,69.3,NA
Specimen_001_Mouse_007.fcs,7.27,8.03,3.87,10,30,Sepi44,2,1,71.4,NA
Specimen_001_Mouse_008.fcs,9.07,13.8,4.95,17.7,20.5,Sepi44,3,1,71.9,NA
Specimen_001_Mouse_009.fcs,5.82,12,3.67,10.7,21.5,Sepi44,4,1,71,NA
Specimen_001_Mouse_010.fcs,5.75,9.56,4.06,13.6,19.5,Sepi44,5,1,71.1,NA
spf35_day4_Mouse_011.fcs,4.41,2.73,7.88,2.69,9.77,PBS,1,4,30.5,2
spf35_day4_Mouse_012.fcs,3.01,3.83,11,1.98,1.13,PBS,2,4,38.2,0
spf35_day4_Mouse_013.fcs,2.87,3.91,8.87,3.52,16.7,PBS,3,4,51,2
spf35_day4_Mouse_014.fcs,3.62,2.62,6.5,2.62,14.9,PBS,4,4,21.5,4
spf35_day4_Mouse_015.fcs,3.18,2.84,10.4,0.8,0.53,PBS,5,4,16.1,1
spf35_day4_Mouse_016.fcs,9.18,1.65,3.21,2.64,55.2,Sepi44,1,4,63.4,6
spf35_day4_Mouse_017.fcs,4.57,1.49,2.77,1.63,52.4,Sepi44,2,4,58,5
spf35_day4_Mouse_018.fcs,3.79,3.18,9.53,2.11,2.72,Sepi44,3,4,18.3,2
spf35_day4_Mouse_019.fcs,2.37,0.67,0.81,1.01,56.8,Sepi44,4,4,39.7,3
spf35_day4_Mouse_020.fcs,0.69,0.16,0.2,0.56,13.4,Sepi44,5,4,18.9,4
