tube,Cohort,Group,matrix,IL_17_Protein
1,7,PBS,luminex,0.512608635
2,7,PBS,luminex,1.291574435
3,7,PBS,luminex,1.617231441
4,7,PBS,luminex,1.644557687
5,7,PBS,luminex,1.348887244
6,7,L_reuteri,luminex,1.788816835
7,7,L_reuteri,luminex,0.93591413
8,7,L_reuteri,luminex,0.941288339
9,7,L_reuteri,luminex,1.106123475
10,7,L_reuteri,luminex,2.295619261
11,7,S_xylosus,luminex,4.294813538
12,7,S_xylosus,luminex,6.755429884
13,7,S_xylosus,luminex,4.879112292
14,7,S_xylosus,luminex,2.078175646
15,7,S_xylosus,luminex,4.066373392
16,7,Sepi44,luminex,2.588209785
17,7,Sepi44,luminex,4.402695701
18,7,Sepi44,luminex,3.916961905
19,7,Sepi44,luminex,1.840613061
20,7,Sepi44,luminex,4.250284741
1,9,PBS,luminex,2.370106134
2,9,PBS,luminex,0.282399483
3,9,PBS,luminex,0.601413501
4,9,PBS,luminex,0.938546954
5,9,L_reuteri,luminex,0.272479864
6,9,L_reuteri,luminex,0.630698514
7,9,L_reuteri,luminex,0.561722316
8,9,L_reuteri,luminex,2.253691611
9,9,L_reuteri,luminex,NA
10,9,L_reuteri,luminex,0.846792409
11,9,Sepi44,luminex,3.64035526
12,9,Sepi44,luminex,0.837114004
13,9,Sepi44,luminex,2.949664585
14,9,Sepi44,luminex,3.85542945
15,9,Sepi44,luminex,3.240686731
16,9,Sepi44,luminex,2.071810475
