Timepoint,GOID_BiologicalProcess,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
d0,GO:0060326,cell chemotaxis,45121,313/23062,2.51E-10,2.62E-07,1.22E-07,ENSMUSG00000022651/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000040026/ENSMUSG00000042265/ENSMUSG00000058427,7
d0,GO:0030595,leukocyte chemotaxis,45091,227/23062,2.39E-09,8.29E-07,3.85E-07,ENSMUSG00000022651/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,6
d0,GO:0030593,neutrophil chemotaxis,45060,102/23062,2.97E-09,8.29E-07,3.85E-07,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,5
d0,GO:0097529,myeloid leukocyte migration,45091,241/23062,3.43E-09,8.29E-07,3.85E-07,ENSMUSG00000022651/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,6
d0,GO:0002526,acute inflammatory response,45060,108/23062,3.97E-09,8.29E-07,3.85E-07,ENSMUSG00000027398/ENSMUSG00000029380/ENSMUSG00000030717/ENSMUSG00000040026/ENSMUSG00000042265,5
d0,GO:0071621,granulocyte chemotaxis,45060,128/23062,9.36E-09,1.37E-06,6.37E-07,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,5
d0,GO:0071222,cellular response to lipopolysaccharide,45091,289/23062,1.01E-08,1.37E-06,6.37E-07,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000051439/ENSMUSG00000058427,6
d0,GO:1990266,neutrophil migration,45060,131/23062,1.05E-08,1.37E-06,6.37E-07,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,5
d0,GO:0071219,cellular response to molecule of bacterial origin,45091,299/23062,1.24E-08,1.44E-06,6.69E-07,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000051439/ENSMUSG00000058427,6
d0,GO:0071216,cellular response to biotic stimulus,45091,325/23062,2.04E-08,2.13E-06,9.89E-07,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000051439/ENSMUSG00000058427,6
d0,GO:0097530,granulocyte migration,45060,161/23062,2.96E-08,2.81E-06,1.31E-06,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265/ENSMUSG00000058427,5
d0,GO:0032496,response to lipopolysaccharide,45091,369/23062,4.34E-08,3.78E-06,1.75E-06,ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042677/ENSMUSG00000051439/ENSMUSG00000058427,6
