vkplate,Timepoint,Source,Group,AU
a8,Prechallenge,Skin,Abx,13.07969007
a9,Prechallenge,Skin,Abx,19.65360242
b1,Prechallenge,Skin,Ctrl,10.11496136
b2,Prechallenge,Skin,Ctrl,11.69405568
b3,Prechallenge,Skin,Ctrl,18.25530369
b4,Prechallenge,Skin,Ctrl,10.67026233
b5,Prechallenge,Skin,Ctrl,10.0125134
b6,Prechallenge,Skin,Ctrl,11.4583721
b9,Endpoint,Skin,Abx,663.8097922
c1,Endpoint,Skin,Ctrl,5336.63536
c2,Endpoint,Skin,Ctrl,4320.453493
c3,Endpoint,Skin,Ctrl,2691.208561
c4,blank,swabCtrl,blank,10.50856513
c5,blank,extractionCtrl,blank,15.51140641
d10,Endpoint,Fecal,Abx,202374.6248
d11,Endpoint,Fecal,Abx,437578.2548
d12,Endpoint,Fecal,Abx,303316.1188
d5,Prechallenge,Fecal,Abx,453450.2485
d6,Prechallenge,Fecal,Abx,1003175.31
d7,Prechallenge,Fecal,Ctrl,480785.1794
d8,Prechallenge,Fecal,Ctrl,553020.7691
d9,Endpoint,Fecal,Abx,469897.9568
e1,Endpoint,Fecal,Abx,626469.7932
e2,Endpoint,Fecal,Ctrl,621704.9094
e3,Endpoint,Fecal,Ctrl,601472.3452
e4,Endpoint,Fecal,Ctrl,475915.6145
e5,Endpoint,Fecal,Ctrl,662546.3767
e6,Endpoint,Fecal,Abx,803928.6793
