Tube,Live,CD45_CD3_of_Live,CD4_of_CD45CD3,FoxP3_of_CD4,CD8_of_CD45CD3,CD4_CD8_double_negative,TCRg_of_DN,Tissue,Mouse,Group
1,26.3,0.1,42.8,43.5,19.7,36.8,74.7,Skin,1,Control0
2,26.6,0.44,58.3,50,10.1,31.4,71.4,Skin,2,Control0
3,34.8,0.089,55.8,37.2,11,32.8,71.3,Skin,3,Control0
4,27,0.18,61.8,49.5,11.6,26.6,54.8,Skin,1,Control1
5,21.5,0.23,60.3,39.6,8.44,31.3,55.3,Skin,2,Control1
6,20.8,0.28,64.5,39.7,7.91,27.6,63.4,Skin,3,Control1
7,21.8,0.21,63.1,45.2,3.86,33,72.7,Skin,4,Control1
8,23.9,0.32,56.3,49.4,14,29.6,76.1,Skin,5,Control1
9,18.2,0.28,52.1,45.1,6.07,41.9,82.7,Skin,1,Group0
10,15.1,0.3,34,46.7,3.58,62.4,77.4,Skin,2,Group0
11,19.5,0.53,43.1,34.1,7.25,49.5,75.6,Skin,3,Group0
12,19,1.72,53.8,29.6,11.2,35,84.3,Skin,1,Group1
13,16.9,1.03,56.6,34.7,16.7,26.5,74.4,Skin,2,Group1
14,12.5,1.11,54,25.6,10.6,35.4,83.6,Skin,3,Group1
15,21.1,2.26,45.8,30.8,20.2,33.9,83.7,Skin,4,Group1
16,16.7,1.93,52.5,39.7,9.57,37.9,82.4,Skin,5,Group1
17,18.1,0.36,46.1,36,6.85,47,79.6,Skin,6,Group1
20,89.8,58.5,56.9,8.58,41.6,1.17,45.2,Lymph,1,Control0
21,88.4,63.3,58.2,8.34,40.5,1.01,41.6,Lymph,2,Control0
22,76.3,64.6,56.4,8.63,42.2,1.06,49.4,Lymph,3,Control0
23,90.8,57.2,57.4,10.1,41.2,1.04,46.3,Lymph,1,Control1
24,88.1,67.7,51.5,7.89,46.2,2.08,49.1,Lymph,2,Control1
25,77.2,37,51.2,13.7,44,4.1,34.2,Lymph,3,Control1
26,89.6,49.1,60.3,9.55,36,3.35,39.7,Lymph,1,Group0
27,85,65.9,55.9,8.41,40.9,2.86,52.6,Lymph,2,Group0
28,89.7,60.3,49.1,8.5,47,3.6,49.4,Lymph,3,Group0
29,93.8,43.5,54.2,8.86,40.1,5.33,30.4,Lymph,1,Group1
30,86.7,52.4,56.4,12.2,40.1,3.21,39.9,Lymph,2,Group1
31,88,45.6,58.8,9.33,36.2,4.56,38.9,Lymph,3,Group1
