Cohort,Organism,pbs,pbs_skin,skin_mass,pink_CFU,yellow_CFU,skin_score,skin_tewl,dil_factor,vol_plated,total_vol,pink_cfu_per_tube,yell_cfu_per_tube,pink_cfu_per_gram,yell_cfu_per_gram
5,Sepi44,2.0639,2.1975,0.1336,84,,8,63.8,10,50,1133.6,19044.48,0,142548.503,0
5,Sepi44,2.0524,2.1899,0.1375,55,,8,46.7,10,50,1137.5,12512.5,0,91000,0
7,Sepi44,2.0636,2.1407,0.0771,2720,,,,10,50,1077.1,585942.4,0,7599771.725,0
7,Sepi44,2.0742,2.1068,0.0326,2168,,,,10,50,1032.6,447735.36,0,13734213.5,0
7,Sepi44,2.0591,2.1478,0.0887,279,,,,10,50,1088.7,60749.46,0,684886.8095,0
7,Sepi44,2.065,2.147,0.082,79,,,,10,50,1082,17095.6,0,208482.9268,0
7,Sepi44,2.0704,2.1099,0.0395,858,,,,10,50,1039.5,178378.2,0,4515903.797,0
7,S_xylosus,2.0756,2.1735,0.0979,0,300,,,10,50,1097.9,0,65874,0,672870.2758
7,S_xylosus,2.077,2.099,0.0234,0,34,,,10,50,1023.4,0,6959.12,0,297398.2906
7,S_xylosus,2.0738,2.2307,0.1537,0,300,,,10,50,1153.7,0,69222,0,450370.8523
7,S_xylosus,2.071,2.1786,0.1048,0,20,,,10,50,1104.8,0,4419.2,0,42167.93893
7,S_xylosus,2.0802,2.1204,0.0402,0,173,,,10,50,1040.2,0,35990.92,0,895296.5174
8,Sepi44,1.9334,1.9912,0.0578,3,,2,17.4,10,10,1057.8,3173.4,0,54903.11419,0
8,Sepi44,2.1906,2.2467,0.0561,5,,5,47.7,10,10,1056.1,5280.5,0,94126.55971,0
8,Sepi44,2.036,2.087,0.051,4,,3,26.7,10,10,1051,4204,0,82431.37255,0
8,Sepi44,2.0027,2.0683,0.0656,2,,2,32.6,10,10,1065.6,2131.2,0,32487.80488,0
8,Sepi44,2.0243,2.0767,0.0524,2,,4,39.7,10,10,1052.4,2104.8,0,40167.93893,0
