"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","d0","GO:0060326","cell chemotaxis","7/14","326/23006",3.39087524736419e-10,3.30610336618008e-07,1.47056905464636e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000040026/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265",7
"2","d0","GO:0030595","leukocyte chemotaxis","6/14","235/23006",2.98879525653288e-09,6.54524731579084e-07,2.91135427163922e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265",6
"3","d0","GO:0006935","chemotaxis","7/14","455/23006",3.4416820273746e-09,6.54524731579084e-07,2.91135427163922e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000040026/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265",7
"4","d0","GO:0030593","neutrophil chemotaxis","5/14","105/23006",3.48534374009293e-09,6.54524731579084e-07,2.91135427163922e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265",5
"5","d0","GO:0042330","taxis","7/14","457/23006",3.54779048342224e-09,6.54524731579084e-07,2.91135427163922e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000040026/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265",7
"6","d0","GO:0097529","myeloid leukocyte migration","6/14","247/23006",4.02784450202513e-09,6.54524731579084e-07,2.91135427163922e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265",6
"7","d0","GO:0071621","granulocyte chemotaxis","5/14","130/23006",1.02477741584994e-08,1.28656122969588e-06,5.7226799096864e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265",5
"8","d0","GO:1990266","neutrophil migration","5/14","132/23006",1.10666517272184e-08,1.28656122969588e-06,5.7226799096864e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265",5
"9","d0","GO:0071222","cellular response to lipopolysaccharide","6/14","296/23006",1.18759498125774e-08,1.28656122969588e-06,5.7226799096864e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000051439/ENSMUSG00000042677",6
"10","d0","GO:0071219","cellular response to molecule of bacterial origin","6/14","306/23006",1.44766325890918e-08,1.41147167743645e-06,6.27828697547981e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000051439/ENSMUSG00000042677",6
"11","d0","GO:0071216","cellular response to biotic stimulus","6/14","333/23006",2.39452350348701e-08,2.12241855990894e-06,9.440609410877e-07,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000051439/ENSMUSG00000042677",6
"12","d0","GO:0097530","granulocyte migration","5/14","161/23006",3.00057230705934e-08,2.43796499948571e-06,1.08441736009513e-06,"ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265",5
