,Unnamed: 0,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,expandlist
7,8,d1,GO:0008236,serine-type peptidase activity,6/64,209/22537,2.83590217318992e-05,0.002849267046486,0.002164215998228,ENSMUSG00000050762/ENSMUSG00000045027/ENSMUSG00000050063/ENSMUSG00000024713/ENSMUSG00000044737/ENSMUSG00000044430,6,"['ENSMUSG00000050762', 'ENSMUSG00000045027', 'ENSMUSG00000050063', 'ENSMUSG00000024713', 'ENSMUSG00000044737', 'ENSMUSG00000044430']"
8,9,d1,GO:0017171,serine hydrolase activity,6/64,214/22537,3.237803461916e-05,0.002849267046486,0.002164215998228,ENSMUSG00000050762/ENSMUSG00000045027/ENSMUSG00000050063/ENSMUSG00000024713/ENSMUSG00000044737/ENSMUSG00000044430,6,"['ENSMUSG00000050762', 'ENSMUSG00000045027', 'ENSMUSG00000050063', 'ENSMUSG00000024713', 'ENSMUSG00000044737', 'ENSMUSG00000044430']"
9,10,d1,GO:0005539,glycosaminoglycan binding,6/64,239/22537,5.99049525667371e-05,0.0035144238839152,0.0026694487635002,ENSMUSG00000019929/ENSMUSG00000021614/ENSMUSG00000022816/ENSMUSG00000031825/ENSMUSG00000060594/ENSMUSG00000004098,6,"['ENSMUSG00000019929', 'ENSMUSG00000021614', 'ENSMUSG00000022816', 'ENSMUSG00000031825', 'ENSMUSG00000060594', 'ENSMUSG00000004098']"
11,12,d1,GO:0004175,endopeptidase activity,7/64,433/22537,0.0002225743427045,0.0078346168631986,0.0059509350575731,ENSMUSG00000030022/ENSMUSG00000050762/ENSMUSG00000045027/ENSMUSG00000050063/ENSMUSG00000057530/ENSMUSG00000024713/ENSMUSG00000044737,7,"['ENSMUSG00000030022', 'ENSMUSG00000050762', 'ENSMUSG00000045027', 'ENSMUSG00000050063', 'ENSMUSG00000057530', 'ENSMUSG00000024713', 'ENSMUSG00000044737']"
21,22,d4,GO:0003735,structural constituent of ribosome,88/1456,170/22537,8.14411555470177e-59,7.45186573255212e-56,6.3781283923138095e-56,ENSMUSG00000012405/ENSMUSG00000030432/ENSMUSG00000008682/ENSMUSG00000093674/ENSMUSG00000030879/ENSMUSG00000039221/ENSMUSG00000036781/ENSMUSG00000025794/ENSMUSG00000000740/ENSMUSG00000090137/ENSMUSG00000009927/ENSMUSG00000017404/ENSMUSG00000025508/ENSMUSG00000037563/ENSMUSG00000063316/ENSMUSG00000045128/ENSMUSG00000061983/ENSMUSG00000048758/ENSMUSG00000008683/ENSMUSG00000045948/ENSMUSG00000012848/ENSMUSG00000032518/ENSMUSG00000058267/ENSMUSG00000058558/ENSMUSG00000034932/ENSMUSG00000032459/ENSMUSG00000029066/ENSMUSG00000071415/ENSMUSG00000062647/ENSMUSG00000038900/ENSMUSG00000062006/ENSMUSG00000015672/ENSMUSG00000023723/ENSMUSG00000029614/ENSMUSG00000062328/ENSMUSG00000039680/ENSMUSG00000063457/ENSMUSG00000022370/ENSMUSG00000030612/ENSMUSG00000060636/ENSMUSG00000049751/ENSMUSG00000036860/ENSMUSG00000079435/ENSMUSG00000003429/ENSMUSG00000019505/ENSMUSG00000098274/ENSMUSG00000047215/ENSMUSG00000038880/ENSMUSG00000026087/ENSMUSG00000023939/ENSMUSG00000039209/ENSMUSG00000057322/ENSMUSG00000041453/ENSMUSG00000058546/ENSMUSG00000024902/ENSMUSG00000025362/ENSMUSG00000059070/ENSMUSG00000028234/ENSMUSG00000106918/ENSMUSG00000034211/ENSMUSG00000032288/ENSMUSG00000010406/ENSMUSG00000043716/ENSMUSG00000057388/ENSMUSG00000052146/ENSMUSG00000062997/ENSMUSG00000061477/ENSMUSG00000046364/ENSMUSG00000021967/ENSMUSG00000047675/ENSMUSG00000033845/ENSMUSG00000090862/ENSMUSG00000003299/ENSMUSG00000025208/ENSMUSG00000024829/ENSMUSG00000059291/ENSMUSG00000037805/ENSMUSG00000060036/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000036850/ENSMUSG00000020514/ENSMUSG00000007892/ENSMUSG00000039640/ENSMUSG00000028140/ENSMUSG00000034880/ENSMUSG00000044533/ENSMUSG00000028081,88,"['ENSMUSG00000012405', 'ENSMUSG00000030432', 'ENSMUSG00000008682', 'ENSMUSG00000093674', 'ENSMUSG00000030879', 'ENSMUSG00000039221', 'ENSMUSG00000036781', 'ENSMUSG00000025794', 'ENSMUSG00000000740', 'ENSMUSG00000090137', 'ENSMUSG00000009927', 'ENSMUSG00000017404', 'ENSMUSG00000025508', 'ENSMUSG00000037563', 'ENSMUSG00000063316', 'ENSMUSG00000045128', 'ENSMUSG00000061983', 'ENSMUSG00000048758', 'ENSMUSG00000008683', 'ENSMUSG00000045948', 'ENSMUSG00000012848', 'ENSMUSG00000032518', 'ENSMUSG00000058267', 'ENSMUSG00000058558', 'ENSMUSG00000034932', 'ENSMUSG00000032459', 'ENSMUSG00000029066', 'ENSMUSG00000071415', 'ENSMUSG00000062647', 'ENSMUSG00000038900', 'ENSMUSG00000062006', 'ENSMUSG00000015672', 'ENSMUSG00000023723', 'ENSMUSG00000029614', 'ENSMUSG00000062328', 'ENSMUSG00000039680', 'ENSMUSG00000063457', 'ENSMUSG00000022370', 'ENSMUSG00000030612', 'ENSMUSG00000060636', 'ENSMUSG00000049751', 'ENSMUSG00000036860', 'ENSMUSG00000079435', 'ENSMUSG00000003429', 'ENSMUSG00000019505', 'ENSMUSG00000098274', 'ENSMUSG00000047215', 'ENSMUSG00000038880', 'ENSMUSG00000026087', 'ENSMUSG00000023939', 'ENSMUSG00000039209', 'ENSMUSG00000057322', 'ENSMUSG00000041453', 'ENSMUSG00000058546', 'ENSMUSG00000024902', 'ENSMUSG00000025362', 'ENSMUSG00000059070', 'ENSMUSG00000028234', 'ENSMUSG00000106918', 'ENSMUSG00000034211', 'ENSMUSG00000032288', 'ENSMUSG00000010406', 'ENSMUSG00000043716', 'ENSMUSG00000057388', 'ENSMUSG00000052146', 'ENSMUSG00000062997', 'ENSMUSG00000061477', 'ENSMUSG00000046364', 'ENSMUSG00000021967', 'ENSMUSG00000047675', 'ENSMUSG00000033845', 'ENSMUSG00000090862', 'ENSMUSG00000003299', 'ENSMUSG00000025208', 'ENSMUSG00000024829', 'ENSMUSG00000059291', 'ENSMUSG00000037805', 'ENSMUSG00000060036', 'ENSMUSG00000057841', 'ENSMUSG00000046330', 'ENSMUSG00000036850', 'ENSMUSG00000020514', 'ENSMUSG00000007892', 'ENSMUSG00000039640', 'ENSMUSG00000028140', 'ENSMUSG00000034880', 'ENSMUSG00000044533', 'ENSMUSG00000028081']"
22,23,d4,GO:0043021,ribonucleoprotein complex binding,42/1456,188/22537,9.62072533145243e-13,4.4014818391394903e-10,3.76727349821085e-10,ENSMUSG00000031167/ENSMUSG00000030082/ENSMUSG00000020372/ENSMUSG00000021546/ENSMUSG00000025508/ENSMUSG00000057113/ENSMUSG00000053317/ENSMUSG00000063511/ENSMUSG00000036371/ENSMUSG00000032518/ENSMUSG00000021917/ENSMUSG00000027620/ENSMUSG00000040385/ENSMUSG00000024217/ENSMUSG00000053565/ENSMUSG00000022365/ENSMUSG00000026740/ENSMUSG00000025580/ENSMUSG00000078812/ENSMUSG00000025616/ENSMUSG00000028840/ENSMUSG00000027404/ENSMUSG00000025971/ENSMUSG00000026864/ENSMUSG00000020415/ENSMUSG00000030224/ENSMUSG00000039630/ENSMUSG00000024387/ENSMUSG00000040824/ENSMUSG00000035530/ENSMUSG00000057278/ENSMUSG00000025920/ENSMUSG00000062997/ENSMUSG00000090553/ENSMUSG00000078974/ENSMUSG00000052253/ENSMUSG00000031388/ENSMUSG00000014504/ENSMUSG00000003438/ENSMUSG00000018442/ENSMUSG00000027642/ENSMUSG00000007892,42,"['ENSMUSG00000031167', 'ENSMUSG00000030082', 'ENSMUSG00000020372', 'ENSMUSG00000021546', 'ENSMUSG00000025508', 'ENSMUSG00000057113', 'ENSMUSG00000053317', 'ENSMUSG00000063511', 'ENSMUSG00000036371', 'ENSMUSG00000032518', 'ENSMUSG00000021917', 'ENSMUSG00000027620', 'ENSMUSG00000040385', 'ENSMUSG00000024217', 'ENSMUSG00000053565', 'ENSMUSG00000022365', 'ENSMUSG00000026740', 'ENSMUSG00000025580', 'ENSMUSG00000078812', 'ENSMUSG00000025616', 'ENSMUSG00000028840', 'ENSMUSG00000027404', 'ENSMUSG00000025971', 'ENSMUSG00000026864', 'ENSMUSG00000020415', 'ENSMUSG00000030224', 'ENSMUSG00000039630', 'ENSMUSG00000024387', 'ENSMUSG00000040824', 'ENSMUSG00000035530', 'ENSMUSG00000057278', 'ENSMUSG00000025920', 'ENSMUSG00000062997', 'ENSMUSG00000090553', 'ENSMUSG00000078974', 'ENSMUSG00000052253', 'ENSMUSG00000031388', 'ENSMUSG00000014504', 'ENSMUSG00000003438', 'ENSMUSG00000018442', 'ENSMUSG00000027642', 'ENSMUSG00000007892']"
23,24,d4,GO:0019843,rRNA binding,25/1456,75/22537,3.3567870332965995e-12,1.02382004515546e-09,8.76298088692166e-10,ENSMUSG00000017404/ENSMUSG00000057113/ENSMUSG00000012848/ENSMUSG00000058558/ENSMUSG00000029066/ENSMUSG00000071415/ENSMUSG00000038900/ENSMUSG00000045193/ENSMUSG00000029614/ENSMUSG00000062328/ENSMUSG00000039680/ENSMUSG00000003429/ENSMUSG00000004268/ENSMUSG00000047215/ENSMUSG00000058546/ENSMUSG00000024902/ENSMUSG00000034211/ENSMUSG00000032288/ENSMUSG00000043716/ENSMUSG00000057388/ENSMUSG00000026273/ENSMUSG00000090862/ENSMUSG00000059291/ENSMUSG00000060036/ENSMUSG00000047084,25,"['ENSMUSG00000017404', 'ENSMUSG00000057113', 'ENSMUSG00000012848', 'ENSMUSG00000058558', 'ENSMUSG00000029066', 'ENSMUSG00000071415', 'ENSMUSG00000038900', 'ENSMUSG00000045193', 'ENSMUSG00000029614', 'ENSMUSG00000062328', 'ENSMUSG00000039680', 'ENSMUSG00000003429', 'ENSMUSG00000004268', 'ENSMUSG00000047215', 'ENSMUSG00000058546', 'ENSMUSG00000024902', 'ENSMUSG00000034211', 'ENSMUSG00000032288', 'ENSMUSG00000043716', 'ENSMUSG00000057388', 'ENSMUSG00000026273', 'ENSMUSG00000090862', 'ENSMUSG00000059291', 'ENSMUSG00000060036', 'ENSMUSG00000047084']"
24,25,d4,GO:0003729,mRNA binding,60/1456,353/22537,5.03935712904723e-12,1.1527529432695501e-09,9.86653080002931e-10,ENSMUSG00000030795/ENSMUSG00000021546/ENSMUSG00000028034/ENSMUSG00000022283/ENSMUSG00000039218/ENSMUSG00000063511/ENSMUSG00000037361/ENSMUSG00000012848/ENSMUSG00000036371/ENSMUSG00000020863/ENSMUSG00000010608/ENSMUSG00000058558/ENSMUSG00000001056/ENSMUSG00000068882/ENSMUSG00000038374/ENSMUSG00000025580/ENSMUSG00000045193/ENSMUSG00000030057/ENSMUSG00000029614/ENSMUSG00000037058/ENSMUSG00000032294/ENSMUSG00000022370/ENSMUSG00000059208/ENSMUSG00000037475/ENSMUSG00000078676/ENSMUSG00000034681/ENSMUSG00000004642/ENSMUSG00000020741/ENSMUSG00000098274/ENSMUSG00000020900/ENSMUSG00000005610/ENSMUSG00000030224/ENSMUSG00000039630/ENSMUSG00000034088/ENSMUSG00000071337/ENSMUSG00000001017/ENSMUSG00000025362/ENSMUSG00000029823/ENSMUSG00000028639/ENSMUSG00000025920/ENSMUSG00000043716/ENSMUSG00000008393/ENSMUSG00000062997/ENSMUSG00000061477/ENSMUSG00000053536/ENSMUSG00000015165/ENSMUSG00000040482/ENSMUSG00000042354/ENSMUSG00000090862/ENSMUSG00000028134/ENSMUSG00000024949/ENSMUSG00000025982/ENSMUSG00000005846/ENSMUSG00000021040/ENSMUSG00000035851/ENSMUSG00000066037/ENSMUSG00000039640/ENSMUSG00000028114/ENSMUSG00000044533/ENSMUSG00000028081,60,"['ENSMUSG00000030795', 'ENSMUSG00000021546', 'ENSMUSG00000028034', 'ENSMUSG00000022283', 'ENSMUSG00000039218', 'ENSMUSG00000063511', 'ENSMUSG00000037361', 'ENSMUSG00000012848', 'ENSMUSG00000036371', 'ENSMUSG00000020863', 'ENSMUSG00000010608', 'ENSMUSG00000058558', 'ENSMUSG00000001056', 'ENSMUSG00000068882', 'ENSMUSG00000038374', 'ENSMUSG00000025580', 'ENSMUSG00000045193', 'ENSMUSG00000030057', 'ENSMUSG00000029614', 'ENSMUSG00000037058', 'ENSMUSG00000032294', 'ENSMUSG00000022370', 'ENSMUSG00000059208', 'ENSMUSG00000037475', 'ENSMUSG00000078676', 'ENSMUSG00000034681', 'ENSMUSG00000004642', 'ENSMUSG00000020741', 'ENSMUSG00000098274', 'ENSMUSG00000020900', 'ENSMUSG00000005610', 'ENSMUSG00000030224', 'ENSMUSG00000039630', 'ENSMUSG00000034088', 'ENSMUSG00000071337', 'ENSMUSG00000001017', 'ENSMUSG00000025362', 'ENSMUSG00000029823', 'ENSMUSG00000028639', 'ENSMUSG00000025920', 'ENSMUSG00000043716', 'ENSMUSG00000008393', 'ENSMUSG00000062997', 'ENSMUSG00000061477', 'ENSMUSG00000053536', 'ENSMUSG00000015165', 'ENSMUSG00000040482', 'ENSMUSG00000042354', 'ENSMUSG00000090862', 'ENSMUSG00000028134', 'ENSMUSG00000024949', 'ENSMUSG00000025982', 'ENSMUSG00000005846', 'ENSMUSG00000021040', 'ENSMUSG00000035851', 'ENSMUSG00000066037', 'ENSMUSG00000039640', 'ENSMUSG00000028114', 'ENSMUSG00000044533', 'ENSMUSG00000028081']"
25,26,d4,GO:0005201,extracellular matrix structural constituent,35/1456,145/22537,7.21076163487963e-12,1.31956937918297e-09,1.1294329802843e-09,ENSMUSG00000048126/ENSMUSG00000032332/ENSMUSG00000029661/ENSMUSG00000021806/ENSMUSG00000064080/ENSMUSG00000026478/ENSMUSG00000019929/ENSMUSG00000018593/ENSMUSG00000029675/ENSMUSG00000021186/ENSMUSG00000060572/ENSMUSG00000028776/ENSMUSG00000040690/ENSMUSG00000019899/ENSMUSG00000036256/ENSMUSG00000002900/ENSMUSG00000034463/ENSMUSG00000001119/ENSMUSG00000031375/ENSMUSG00000031503/ENSMUSG00000020241/ENSMUSG00000026837/ENSMUSG00000028339/ENSMUSG00000005397/ENSMUSG00000042436/ENSMUSG00000026042/ENSMUSG00000001506/ENSMUSG00000055632/ENSMUSG00000066842/ENSMUSG00000031502/ENSMUSG00000006369/ENSMUSG00000030605/ENSMUSG00000001435/ENSMUSG00000031253/ENSMUSG00000030116,35,"['ENSMUSG00000048126', 'ENSMUSG00000032332', 'ENSMUSG00000029661', 'ENSMUSG00000021806', 'ENSMUSG00000064080', 'ENSMUSG00000026478', 'ENSMUSG00000019929', 'ENSMUSG00000018593', 'ENSMUSG00000029675', 'ENSMUSG00000021186', 'ENSMUSG00000060572', 'ENSMUSG00000028776', 'ENSMUSG00000040690', 'ENSMUSG00000019899', 'ENSMUSG00000036256', 'ENSMUSG00000002900', 'ENSMUSG00000034463', 'ENSMUSG00000001119', 'ENSMUSG00000031375', 'ENSMUSG00000031503', 'ENSMUSG00000020241', 'ENSMUSG00000026837', 'ENSMUSG00000028339', 'ENSMUSG00000005397', 'ENSMUSG00000042436', 'ENSMUSG00000026042', 'ENSMUSG00000001506', 'ENSMUSG00000055632', 'ENSMUSG00000066842', 'ENSMUSG00000031502', 'ENSMUSG00000006369', 'ENSMUSG00000030605', 'ENSMUSG00000001435', 'ENSMUSG00000031253', 'ENSMUSG00000030116']"
26,27,d4,GO:0051082,unfolded protein binding,22/1456,87/22537,2.23342694056053e-08,3.4059760843548e-06,2.91520990136321e-06,ENSMUSG00000057113/ENSMUSG00000001416/ENSMUSG00000024309/ENSMUSG00000020368/ENSMUSG00000032060/ENSMUSG00000004460/ENSMUSG00000001289/ENSMUSG00000007739/ENSMUSG00000029131/ENSMUSG00000093904/ENSMUSG00000026864/ENSMUSG00000022403/ENSMUSG00000052033/ENSMUSG00000030007/ENSMUSG00000068039/ENSMUSG00000029198/ENSMUSG00000070436/ENSMUSG00000028410/ENSMUSG00000031197/ENSMUSG00000006412/ENSMUSG00000038086/ENSMUSG00000028851,22,"['ENSMUSG00000057113', 'ENSMUSG00000001416', 'ENSMUSG00000024309', 'ENSMUSG00000020368', 'ENSMUSG00000032060', 'ENSMUSG00000004460', 'ENSMUSG00000001289', 'ENSMUSG00000007739', 'ENSMUSG00000029131', 'ENSMUSG00000093904', 'ENSMUSG00000026864', 'ENSMUSG00000022403', 'ENSMUSG00000052033', 'ENSMUSG00000030007', 'ENSMUSG00000068039', 'ENSMUSG00000029198', 'ENSMUSG00000070436', 'ENSMUSG00000028410', 'ENSMUSG00000031197', 'ENSMUSG00000006412', 'ENSMUSG00000038086', 'ENSMUSG00000028851']"
