"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","ENSMUSG00000012405","Rpl15",4,22.4079101952628,1.20094845915645e-10,1.78268789277183e-06
"2","ENSMUSG00000029761","Cald1",10,29.7244133223659,8.09045743354525e-10,6.00473750717728e-06
"3","ENSMUSG00000031167","Rbm3",7,30.5004741321197,9.47396563790122e-09,3.86286811257395e-05
"4","ENSMUSG00000022548","Apod",3,13.3194035153465,1.16545416234994e-08,3.86286811257395e-05
"5","ENSMUSG00000020717","Pecam1",4,13.9172948656378,1.43382897826261e-08,3.86286811257395e-05
"6","ENSMUSG00000064246","Chil1",4,7.59185876044975,1.56138565585042e-08,3.86286811257395e-05
"7","ENSMUSG00000030082","Sec61a1",4,19.3112033764854,5.15700310443037e-08,0.000105671985703931
"8","ENSMUSG00000010609","Psen2",2,5.33659423714182,5.69506794416226e-08,0.000105671985703931
"9","ENSMUSG00000024048","Myl12a",4,15.0920197495056,9.08000974205478e-08,0.000149759627345624
"10","ENSMUSG00000033732","Sf3b3",5,20.9522287727588,2.87067211915181e-07,0.000426122569366895
"11","ENSMUSG00000006301","Tmbim1",4,16.9075315815589,3.64606184179115e-07,0.000492019472541344
"12","ENSMUSG00000034751","Mast4",10,35.7178517106222,5.76543436329579e-07,0.000658323905298175
"13","ENSMUSG00000071856","Mcc",3,14.8682000777942,5.60940888888385e-07,0.000658323905298175
"14","ENSMUSG00000029233","Srd5a3",4,12.6518228954474,6.89820903300595e-07,0.000682646765906269
"15","ENSMUSG00000030432","Rpl28",4,16.2518953351293,6.54454983077921e-07,0.000682646765906269
"16","ENSMUSG00000048126","Col6a3",5,13.7789879848327,8.74127327211756e-07,0.000810971627820707
"17","ENSMUSG00000008682","Rpl10",5,18.1436497903024,1.00563186241248e-06,0.000878094080332405
"18","ENSMUSG00000032332","Col12a1",4,15.0480263415501,1.21334950842163e-06,0.000909536538904883
"19","ENSMUSG00000030805","Stx4a",4,14.0510575898565,1.22546017098475e-06,0.000909536538904883
"20","ENSMUSG00000026921","Egfl7",4,7.89690281091856,1.14786666453493e-06,0.000909536538904883
"21","ENSMUSG00000029642","Polr1d",2,10.3721346108833,1.35680140502038e-06,0.000915470911641931
"22","ENSMUSG00000054823","Nsd3",8,27.4561588787575,1.35486953679986e-06,0.000915470911641931
"23","ENSMUSG00000024754","Cemip2",4,11.178013028897,1.56418760114306e-06,0.00100951307614641
"24","ENSMUSG00000029661","Col1a2",5,18.7344636602868,2.00457295559736e-06,0.00108384124881727
"25","ENSMUSG00000055762","Eef1d",10,31.2971060538681,1.98574895599387e-06,0.00108384124881727
"26","ENSMUSG00000074129","Rpl13a",9,33.9585617052376,1.82574696446839e-06,0.00108384124881727
"27","ENSMUSG00000027639","Samhd1",6,17.8874715190248,2.04443242838073e-06,0.00108384124881727
"28","ENSMUSG00000078919","Dpm1",4,16.6677204427687,1.89563192920957e-06,0.00108384124881727
"29","ENSMUSG00000060073","Psma3",7,26.885145294272,2.35696205439759e-06,0.00113663157387793
"30","ENSMUSG00000021806","Nid2",1,2.43792027396041,2.39314614973886e-06,0.00113663157387793
"31","ENSMUSG00000015671","Psma2",2,9.87326257325955,2.45029711426123e-06,0.00113663157387793
"32","ENSMUSG00000001847","Rac1",3,13.5878261876777,2.41263274148671e-06,0.00113663157387793
"33","ENSMUSG00000031708","Tecr",6,22.731913793001,2.79777845101979e-06,0.00119732223398165
"34","ENSMUSG00000064080","Fbln2",3,11.0878190309175,2.82311224665574e-06,0.00119732223398165
"35","ENSMUSG00000046491","C1qtnf2",1,1.65693385111343,2.72145759702351e-06,0.00119732223398165
"36","ENSMUSG00000021178","Psmc1",2,8.37945071784,2.98294239418389e-06,0.00122996658053516
"37","ENSMUSG00000093674","Rpl41",6,28.6376719404352,3.45169298683936e-06,0.0013847819107201
"38","ENSMUSG00000032562","Gnai2",3,15.6143356961509,3.94767217470565e-06,0.00150254476311104
"39","ENSMUSG00000030879","Mrpl17",4,12.6344913178979,3.92501704931463e-06,0.00150254476311104
"40","ENSMUSG00000042682","Selenok",2,10.1501872904641,4.40234799192836e-06,0.0015938647217606
"41","ENSMUSG00000039221","Rpl22l1",4,18.2880471798205,4.39514291724852e-06,0.0015938647217606
"42","ENSMUSG00000028007","Snx7",2,8.21958271021147,5.21071551029836e-06,0.00184161573892545
"43","ENSMUSG00000033703","Fcsk",2,5.44252763787454,6.31529136768285e-06,0.0019349708862776
"44","ENSMUSG00000022338","Eny2",7,22.1366709198362,6.41310427960644e-06,0.0019349708862776
"45","ENSMUSG00000020372","Rack1",5,24.2171506154492,5.76765643067202e-06,0.0019349708862776
"46","ENSMUSG00000090841","Myl6",6,22.368741850606,5.89269091698526e-06,0.0019349708862776
"47","ENSMUSG00000030795","Fus",9,33.6749595771003,6.51900580340964e-06,0.0019349708862776
"48","ENSMUSG00000036781","Rps27l",3,10.7175694619424,6.64804063595779e-06,0.0019349708862776
"49","ENSMUSG00000030744","Rps3",2,11.6327951195648,6.05968703909161e-06,0.0019349708862776
"50","ENSMUSG00000025794","Rpl14",3,13.6314808650195,5.81085732493472e-06,0.0019349708862776
"51","ENSMUSG00000034781","Gna11",2,10.1443043853333,6.25748318118462e-06,0.0019349708862776
"52","ENSMUSG00000030583","Sipa1l3",9,24.6401393617883,7.309514305569e-06,0.00208658519907435
"53","ENSMUSG00000029622","Arpc1b",4,15.3617391795476,7.51151835727149e-06,0.00210379204708185
"54","ENSMUSG00000052997","Uba2",4,15.0214628057504,7.67042209776935e-06,0.0021085138077646
"55","ENSMUSG00000096822","Olfr344",1,6.02173349001125,7.86566929670578e-06,0.00212287263709637
