,Unnamed: 0,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,expandlist
0,1,d0,GO:0060326,cell chemotaxis,7/14,326/23006,3.39087524736419e-10,3.30610336618008e-07,1.47056905464636e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000040026/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265,7,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000040026', 'ENSMUSG00000029380', 'ENSMUSG00000022651', 'ENSMUSG00000042265']"
1,2,d0,GO:0030595,leukocyte chemotaxis,6/14,235/23006,2.98879525653288e-09,6.54524731579084e-07,2.91135427163922e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265,6,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000029380', 'ENSMUSG00000022651', 'ENSMUSG00000042265']"
2,3,d0,GO:0006935,chemotaxis,7/14,455/23006,3.4416820273746e-09,6.54524731579084e-07,2.91135427163922e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000040026/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265,7,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000040026', 'ENSMUSG00000029380', 'ENSMUSG00000022651', 'ENSMUSG00000042265']"
4,5,d0,GO:0042330,taxis,7/14,457/23006,3.5477904834222405e-09,6.54524731579084e-07,2.91135427163922e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000040026/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265,7,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000040026', 'ENSMUSG00000029380', 'ENSMUSG00000022651', 'ENSMUSG00000042265']"
5,6,d0,GO:0097529,myeloid leukocyte migration,6/14,247/23006,4.027844502025131e-09,6.54524731579084e-07,2.91135427163922e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000022651/ENSMUSG00000042265,6,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000029380', 'ENSMUSG00000022651', 'ENSMUSG00000042265']"
6,7,d0,GO:0071621,granulocyte chemotaxis,5/14,130/23006,1.02477741584994e-08,1.28656122969588e-06,5.7226799096864e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265,5,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000029380', 'ENSMUSG00000042265']"
7,8,d0,GO:1990266,neutrophil migration,5/14,132/23006,1.10666517272184e-08,1.28656122969588e-06,5.7226799096864e-07,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265,5,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000029380', 'ENSMUSG00000042265']"
11,12,d0,GO:0097530,granulocyte migration,5/14,161/23006,3.00057230705934e-08,2.43796499948571e-06,1.08441736009513e-06,ENSMUSG00000058427/ENSMUSG00000027398/ENSMUSG00000029379/ENSMUSG00000029380/ENSMUSG00000042265,5,"['ENSMUSG00000058427', 'ENSMUSG00000027398', 'ENSMUSG00000029379', 'ENSMUSG00000029380', 'ENSMUSG00000042265']"
22,23,d0,GO:0070555,response to interleukin-1,3/14,97/23006,2.5571130646832e-05,0.0010839935817678,0.0004821650263842,ENSMUSG00000027398/ENSMUSG00000040026/ENSMUSG00000042677,3,"['ENSMUSG00000027398', 'ENSMUSG00000040026', 'ENSMUSG00000042677']"
42,43,d0,GO:0019730,antimicrobial humoral response,3/14,194/23006,0.0002006825154111,0.0045503593610667,0.0020240194944772,ENSMUSG00000058427/ENSMUSG00000029379/ENSMUSG00000029380,3,"['ENSMUSG00000058427', 'ENSMUSG00000029379', 'ENSMUSG00000029380']"
