Chromosome,Start,End,cM,strand GRCm39,MGI ID,Feature Type,Symbol,Name
6,129438554,129449742,63.34,-,MGI:1861431,protein coding gene,Clec7a,"C-type lectin domain family 7, member a"
11,44290890,44304860,25.94,+,MGI:96540,protein coding gene,Il12b,interleukin 12b
9,123901987,123913594,75.05,+,MGI:106185,protein coding gene,Ccr2,C-C motif chemokine receptor 2
1,171057141,171061918,79.23,-,MGI:95496,protein coding gene,Fcer1g,"Fc receptor, IgE, high affinity I, gamma polypeptide"
3,96706079,96736667,41.99,-,MGI:1860383,protein coding gene,Cd160,CD160 antigen
10,51367052,51372707,25.5,+,MGI:102701,protein coding gene,Lilrb4a,"leukocyte immunoglobulin-like receptor, subfamily B, member 4A"
7,125151443,125178646,68.94,+,MGI:105367,protein coding gene,Il4ra,"interleukin 4 receptor, alpha"
6,129568745,129575738,63.42,+,MGI:1196275,protein coding gene,Klrd1,"killer cell lectin-like receptor, subfamily D, member 1"
1,173048851,173054781,80.33,-,MGI:95494,protein coding gene,Fcer1a,"Fc receptor, IgE, high affinity I, alpha polypeptide"
1,40504712,40540014,19.27,+,MGI:105383,protein coding gene,Il18r1,interleukin 18 receptor 1
18,60936921,60945724,34.41,+,MGI:96534,protein coding gene,Cd74,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
8,84756923,84769218,40.26,-,MGI:1355318,protein coding gene,Il27ra,"interleukin 27 receptor, alpha"
10,51356757,51362417,25.5,+,MGI:102702,protein coding gene,Lilrb4b,"leukocyte immunoglobulin-like receptor, subfamily B, member 4B"
1,194819119,194859024,98.44,-,MGI:88489,protein coding gene,Cr2,complement receptor 2
1,194781019,194813878,98.43,-,MGI:88513,protein coding gene,Cr1l,complement C3b/C4b receptor 1 like
1,40264240,40356417,18.81,+,MGI:96545,protein coding gene,Il1r1,"interleukin 1 receptor, type I"
1,170786186,170804116,78.02,-,MGI:95499,protein coding gene,Fcgr2b,"Fc receptor, IgG, low affinity IIb"
6,129587286,129600827,63.44,-,MGI:1196250,protein coding gene,Klrk1,"killer cell lectin-like receptor subfamily K, member 1"
8,3731737,3744175,1.92,-,MGI:95497,protein coding gene,Fcer2a,"Fc receptor, IgE, low affinity II, alpha polypeptide"
4,66745788,66765338,34.66,+,MGI:96824,protein coding gene,Tlr4,toll-like receptor 4
17,8454875,8475973,4.9,+,MGI:1333797,protein coding gene,Ccr6,C-C motif chemokine receptor 6
1,170878743,170892504,78.8,-,MGI:95500,protein coding gene,Fcgr3,"Fc receptor, IgG, low affinity III"
3,96190225,96201285,41.72,-,MGI:95498,protein coding gene,Fcgr1,"Fc receptor, IgG, high affinity I"
X,146166472,146212188,68.46,-,MGI:1277954,protein coding gene,Il13ra2,"interleukin 13 receptor, alpha 2"
15,9505874,9530262,4.16,-,MGI:96562,protein coding gene,Il7r,interleukin 7 receptor
11,99035025,99045903,62.92,-,MGI:103011,protein coding gene,Ccr7,C-C motif chemokine receptor 7
6,129642978,129655936,63.44,-,MGI:1336161,protein coding gene,Klrc1,"killer cell lectin-like receptor subfamily C, member 1"
6,129626565,129637700,63.44,-,MGI:1336162,protein coding gene,Klrc2,"killer cell lectin-like receptor subfamily C, member 2"
1,40554522,40590865,19.37,+,MGI:1338888,protein coding gene,Il18rap,interleukin 18 receptor accessory protein
9,119877749,119897362,71.37,-,MGI:1333815,protein coding gene,Cx3cr1,C-X3-C motif chemokine receptor 1
9,100339772,100368526,52.66,-,MGI:2143266,protein coding gene,Il20rb,interleukin 20 receptor beta
4,132291378,132309994,65.56,+,MGI:106066,protein coding gene,Ptafr,platelet-activating factor receptor
5,17986688,18093799,8.11,-,MGI:107899,protein coding gene,Cd36,CD36 molecule
19,11592887,11601083,8.46,-,MGI:95495,protein coding gene,Ms4a2,"membrane-spanning 4-domains, subfamily A, member 2"
7,18618615,18624363,9.38,+,MGI:1345092,protein coding gene,Pglyrp1,peptidoglycan recognition protein 1
3,91921890,91938889,40.14,+,MGI:2685266,protein coding gene,Pglyrp3,peptidoglycan recognition protein 3
3,90634213,90648824,39.96,+,MGI:2686324,protein coding gene,Pglyrp4,peptidoglycan recognition protein 4
5,109702575,109706859,53.24,-,MGI:1889506,protein coding gene,Crlf2,cytokine receptor-like factor 2
17,32631433,32643141,17.56,-,MGI:1928099,protein coding gene,Pglyrp2,peptidoglycan recognition protein 2
1,130793514,130808528,56.89,+,MGI:1916419,protein coding gene,Fcmr,Fc fragment of IgM receptor
6,67399916,67468839,30.85,-,MGI:2181693,protein coding gene,Il23r,interleukin 23 receptor
8,71261093,71274068,34.21,+,MGI:104579,protein coding gene,Il12rb1,"interleukin 12 receptor, beta 1"
3,89776631,89820503,39.19,-,MGI:105304,protein coding gene,Il6ra,"interleukin 6 receptor, alpha"
1,40468730,40504575,19.19,+,MGI:98427,protein coding gene,Il1rl1,interleukin 1 receptor-like 1
9,123762163,123768729,75.05,-,MGI:104618,protein coding gene,Ccr1,C-C motif chemokine receptor 1
18,36858120,36859851,19.46,-,MGI:88318,protein coding gene,Cd14,CD14 antigen
6,124841655,124865184,59.17,-,MGI:88335,protein coding gene,Cd4,CD4 antigen
2,102641486,102732010,54.13,-,MGI:88338,protein coding gene,Cd44,CD44 antigen
1,16758680,16779829,5.1,+,MGI:1341909,protein coding gene,Ly96,lymphocyte antigen 96
